FID,Province,Municipali,CAT_B,WardNo,District,DistrictCo,Date,WardID,WardLabel,Shape__Area,Shape__Length
1,Western Cape,Beaufort West Local Municipality,WC053,1,Central Karoo,DC5,11/24/2020 12:00:00 AM,10503001,WC053_1,4389041644.37988,436837.154786385
2,Western Cape,Beaufort West Local Municipality,WC053,2,Central Karoo,DC5,11/24/2020 12:00:00 AM,10503002,WC053_2,11627350010.1494,849632.681501812
3,Western Cape,Beaufort West Local Municipality,WC053,3,Central Karoo,DC5,11/24/2020 12:00:00 AM,10503003,WC053_3,5470460.04199219,11681.8429531239
4,Western Cape,Beaufort West Local Municipality,WC053,4,Central Karoo,DC5,11/24/2020 12:00:00 AM,10503004,WC053_4,11575493.953125,16311.3889669517
5,Western Cape,Beaufort West Local Municipality,WC053,5,Central Karoo,DC5,11/24/2020 12:00:00 AM,10503005,WC053_5,3116988.90136719,10117.518919985
6,Western Cape,Beaufort West Local Municipality,WC053,6,Central Karoo,DC5,11/24/2020 12:00:00 AM,10503006,WC053_6,3246690980.43262,319242.203994427
7,Western Cape,Beaufort West Local Municipality,WC053,7,Central Karoo,DC5,11/24/2020 12:00:00 AM,10503007,WC053_7,11466929781.1377,753206.374891602
8,Western Cape,Bergrivier Local Municipality,WC013,1,West Coast,DC1,11/24/2020 12:00:00 AM,10103001,WC013_1,1142639106.79736,254743.097679704
9,Western Cape,Bergrivier Local Municipality,WC013,2,West Coast,DC1,11/24/2020 12:00:00 AM,10103002,WC013_2,457676274.032715,107781.506758218
10,Western Cape,Bergrivier Local Municipality,WC013,3,West Coast,DC1,11/24/2020 12:00:00 AM,10103003,WC013_3,822928102.147949,259064.532571873
11,Western Cape,Bergrivier Local Municipality,WC013,4,West Coast,DC1,11/24/2020 12:00:00 AM,10103004,WC013_4,9506453.61181641,18163.3192423013
12,Western Cape,Bergrivier Local Municipality,WC013,5,West Coast,DC1,11/24/2020 12:00:00 AM,10103005,WC013_5,1553488446.9082,248548.440034126
13,Western Cape,Bergrivier Local Municipality,WC013,6,West Coast,DC1,11/24/2020 12:00:00 AM,10103006,WC013_6,2023682835.23584,294125.262917106
14,Western Cape,Bergrivier Local Municipality,WC013,7,West Coast,DC1,11/24/2020 12:00:00 AM,10103007,WC013_7,243195897.433105,137210.908004857
15,Western Cape,Bitou Local Municipality,WC047,1,Garden Route,DC4,11/24/2020 12:00:00 AM,10407001,WC047_1,1153656299.63867,198688.028704305
16,Western Cape,Bitou Local Municipality,WC047,2,Garden Route,DC4,11/24/2020 12:00:00 AM,10407002,WC047_2,57988097.6435547,63459.2062044274
17,Western Cape,Bitou Local Municipality,WC047,3,Garden Route,DC4,11/24/2020 12:00:00 AM,10407003,WC047_3,1400524.25097656,6064.63054738001
18,Western Cape,Bitou Local Municipality,WC047,4,Garden Route,DC4,11/24/2020 12:00:00 AM,10407004,WC047_4,6380535.75976563,15077.9281564536
19,Western Cape,Bitou Local Municipality,WC047,5,Garden Route,DC4,11/24/2020 12:00:00 AM,10407005,WC047_5,2259588.58398438,7521.95620647744
20,Western Cape,Bitou Local Municipality,WC047,6,Garden Route,DC4,11/24/2020 12:00:00 AM,10407006,WC047_6,3689475.29101563,9193.62800165893
21,Western Cape,Bitou Local Municipality,WC047,7,Garden Route,DC4,11/24/2020 12:00:00 AM,10407007,WC047_7,219287587.844727,94068.9461202412
22,Western Cape,Breede Valley Local Municipality,WC025,1,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205001,WC025_1,2106517383.21484,255719.480810881
23,Western Cape,Breede Valley Local Municipality,WC025,2,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205002,WC025_2,130841025.615723,59397.7662836711
24,Western Cape,Breede Valley Local Municipality,WC025,3,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205003,WC025_3,118009784.157227,66304.7879611559
25,Western Cape,Breede Valley Local Municipality,WC025,4,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205004,WC025_4,232001542.682129,89232.1714807864
26,Western Cape,Breede Valley Local Municipality,WC025,5,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205005,WC025_5,509391229.999023,111802.813983072
27,Western Cape,Breede Valley Local Municipality,WC025,6,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205006,WC025_6,8565470.52539063,15687.4426613599
28,Western Cape,Breede Valley Local Municipality,WC025,7,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205007,WC025_7,6100923.64355469,17821.5756473448
29,Western Cape,Breede Valley Local Municipality,WC025,8,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205008,WC025_8,10363128.5048828,15800.0882148435
30,Western Cape,Breede Valley Local Municipality,WC025,9,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205009,WC025_9,1190924.66552734,5470.67063674562
31,Western Cape,Breede Valley Local Municipality,WC025,10,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205010,WC025_10,9154286.94873047,15344.3689085954
32,Western Cape,Breede Valley Local Municipality,WC025,11,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205011,WC025_11,2073059.19335938,7703.04394073805
33,Western Cape,Breede Valley Local Municipality,WC025,12,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205012,WC025_12,9646783.34521484,21265.4723775477
34,Western Cape,Breede Valley Local Municipality,WC025,13,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205013,WC025_13,8690610.72607422,16208.1462818752
35,Western Cape,Breede Valley Local Municipality,WC025,14,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205014,WC025_14,1435868.94580078,5131.87229649817
36,Western Cape,Breede Valley Local Municipality,WC025,15,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205015,WC025_15,74596421.1000977,48931.2356901134
37,Western Cape,Breede Valley Local Municipality,WC025,16,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205016,WC025_16,2189781.71337891,8130.42253460802
38,Western Cape,Breede Valley Local Municipality,WC025,17,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205017,WC025_17,524926.181152344,3531.1142833051
39,Western Cape,Breede Valley Local Municipality,WC025,18,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205018,WC025_18,678089763.872559,149997.575473738
40,Western Cape,Breede Valley Local Municipality,WC025,19,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205019,WC025_19,1256461744.27832,180154.54370421
41,Western Cape,Breede Valley Local Municipality,WC025,20,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205020,WC025_20,356919511.675293,110681.107140045
